geohash_5,NAVSTAT,freq,rnk
t3yfg,0.0,1,1
t3yfu,0.0,1,1
t3yg1,0.0,1,1
t3yh0,0.0,1,1
t3yje,0.0,1,1
t3yjp,0.0,1,1
t3yk1,0.0,1,1
t3yke,0.0,1,1
t3ymx,0.0,1,1
t3ynt,0.0,1,1
t3yq3,0.0,1,1
t3yrc,0.0,1,1
t3yrv,0.0,1,1
t3yth,0.0,1,1
t3yvq,0.0,1,1
t3yx2,0.0,1,1
t3yx6,0.0,1,1
t3yxk,0.0,1,1
t3yyg,0.0,1,1
t3yyx,0.0,1,1
t3yz0,0.0,1,1
t3z0e,0.0,1,1
t3z0q,0.0,1,1
t3z0w,0.0,1,1
t3z1v,0.0,1,1
t3z1z,0.0,1,1
t3z25,0.0,2,1
t3z3c,0.0,1,1
t3z3m,0.0,1,1
t3z42,0.0,1,1
t3z43,0.0,1,1
t3z4n,0.0,1,1
t3z5z,0.0,1,1
t3z70,0.0,1,1
t3z8b,0.0,1,1
t3z8m,0.0,1,1
t3z8p,0.0,1,1
t3z8y,0.0,1,1
t3z91,0.0,1,1
t3z9j,0.0,1,1
t3z9u,0.0,2,1
t3zbd,0.0,1,1
t3zbf,0.0,1,1
t3zbn,0.0,1,1
t3zc5,0.0,1,1
t3zhk,0.0,1,1
t3zmf,0.0,1,1
t3zmx,0.0,1,1
t3zn3,0.0,1,1
t3znp,0.0,1,1
t3zpg,0.0,1,1
t3zpv,0.0,1,1
t3zt5,0.0,1,1
t3zt6,0.0,1,1
t3zt7,0.0,1,1
t3ztp,0.0,1,1
t3zus,0.0,1,1
t3zuw,0.0,1,1
t6h2w,0.0,1,1
t6h34,0.0,1,1
t6h6z,0.0,1,1
t6h85,0.0,1,1
t6hcf,0.0,1,1
t6hcm,0.0,1,1
t6hdk,0.0,1,1
t6hew,0.0,1,1
t6hfy,0.0,1,1
t6hg5,0.0,1,1
t6hg6,0.0,1,1
t6hkm,0.0,1,1
t6hs1,0.0,1,1
t6hyn,0.0,1,1
t6j10,0.0,1,1
t6j22,0.0,1,1
t6j25,0.0,1,1
t6j3z,0.0,1,1
t6j4b,0.0,1,1
t6j4q,0.0,1,1
t6j61,0.0,1,1
t6j68,0.0,1,1
t6j7y,0.0,1,1
t6j9d,0.0,1,1
t6jbg,0.0,1,1
t6jcj,0.0,1,1
t6jcy,0.0,1,1
t6jdx,0.0,1,1
t6je5,0.0,1,1
t6jk7,0.0,1,1
t6jmm,0.0,1,1
t6jsw,0.0,1,1
t6kcu,0.0,1,1
t6kfz,0.0,1,1
t6mjv,0.0,1,1
t6mnx,0.0,1,1
t6n06,0.0,1,1
t6n0c,0.0,1,1
t6n0m,0.0,1,1
t6n0t,0.0,1,1
t6n0u,0.0,1,1
t6n21,0.0,1,1
t6n2h,0.0,1,1
t6t24,0.0,1,1
t6t2u,0.0,1,1
t6t6r,0.0,1,1
t6te1,0.0,1,1
t6tsk,0.0,1,1
t6ttq,0.0,1,1
t6ty2,0.0,1,1
t6tzu,0.0,1,1
t6u3g,0.0,1,1
t6ud0,0.0,1,1
t6v48,0.0,1,1
t6v4z,0.0,1,1
t6v74,0.0,1,1
t6vby,0.0,1,1
t6vcx,0.0,1,1
t6ve2,15.0,1,1
t6ve6,0.0,1,1
t6veq,0.0,1,1
t6vgs,0.0,1,1
t6y4d,0.0,1,1
t6y55,0.0,1,1
t6y5c,0.0,1,1
t6yhj,0.0,1,1
t6yhw,0.0,1,1
t6yjp,0.0,1,1
t6yk1,15.0,1,1
t6ykq,15.0,1,1
t6yqg,0.0,1,1
t6yrt,0.0,1,1
t6ys6,15.0,1,1
t6yst,15.0,1,1
t6yud,15.0,1,1
t6zhc,15.0,1,1
t6zjh,15.0,1,1
t6zm6,15.0,1,1
t6zmx,15.0,1,1
t6zts,15.0,1,1
t6ztz,0.0,1,1
t6zvv,15.0,1,1
t7mxz,15.0,1,1
t7myg,15.0,1,1
t7myq,15.0,1,1
t7nu8,0.0,1,1
t7nve,0.0,1,1
t7nyk,0.0,1,1
t7nzn,15.0,1,1
t7nzs,15.0,1,1
t7p7w,15.0,1,1
t7p9y,15.0,1,1
t7pbf,15.0,1,1
t7pbn,15.0,1,1
t7pdd,15.0,1,1
t7pjt,15.0,1,1
t7pk6,15.0,1,1
t7pn6,15.0,1,1
t7pvz,15.0,1,1
t7pxs,15.0,1,1
t7pyc,15.0,1,1
t7pyj,15.0,1,1
t7pz2,0.0,1,1
t7q6r,15.0,1,1
t7q6v,0.0,1,1
t7q7c,15.0,1,1
t7q97,15.0,1,1
t7qb2,15.0,1,1
t7qgz,0.0,1,1
t7qht,15.0,1,1
t7qj9,15.0,1,1
t7qr7,15.0,1,1
t7qr9,15.0,1,1
t7qrb,15.0,1,1
t7qte,15.0,1,1
t7qts,15.0,1,1
t7qu9,15.0,1,1
t7quh,15.0,1,1
t7qw1,15.0,1,1
t7qw8,15.0,1,1
t7r0f,0.0,1,1
t7r39,15.0,1,1
t7r3c,15.0,1,1
t7r3h,15.0,1,1
t7r4g,15.0,1,1
t7r4p,15.0,1,1
t7r4q,0.0,1,1
t7r5p,0.0,1,1
t7r7c,0.0,1,1
t7r86,15.0,1,1
t7r88,15.0,1,1
t7rke,0.0,1,1
t7rmv,0.0,1,1
t7rx0,0.0,1,1
t7rxd,0.0,1,1
t7svm,15.0,1,1
t7sxj,15.0,1,1
t7sy3,15.0,1,1
t7sze,15.0,1,1
t7szf,15.0,1,1
t7szp,15.0,1,1
t7szq,15.0,1,1
t7szv,15.0,1,1
t7t3r,15.0,1,1
t7t5u,15.0,1,1
t7t70,15.0,1,1
t7t8e,15.0,1,1
t7tct,15.0,1,1
t7tdy,15.0,1,1
t7ted,15.0,1,1
t7tem,15.0,1,1
t7tf5,15.0,1,1
t7tfb,15.0,1,1
t7th8,15.0,1,1
t7tkp,15.0,1,1
t7tkr,15.0,1,1
t7tks,15.0,1,1
t7tkv,15.0,1,1
t7tm8,15.0,1,1
t7tne,15.0,1,1
